Glimpse of Review,Review
Terrific purchase,"Good image quality and sound quality value for money in whole things are good, thanks to Nokia company to launch a new TV and give them best 😊👏👏👏 to  Nokia company. An special thanks to Nokia company to use sounds system to JBL company.😊😊😊😊🎊🎊🎊👏👏👏👏🙏🙏🙏 For whole product from top to bottom and specialy it's TV stand nice one 👏👏 thanks to Flipkart for providing good services to deliver and it's TV installation.READ MORE"
Super!,"Nokia TV is very good, quality of sound is awesome through JBL speaker, picture quality is very good in this price range. very happy with customer service support from Both Jeeves and Flipkart. I got my TV on 14th Dec at 6;20 pm and after one hour got call from Jeeves for installation and very next day in morning all are set. This is truly value for. others please go for it. I have to check connectivity.READ MORE"
Worth every penny,"An excellent TV for the price you pay. One must not compare this with TVs 4 -5 times its cost . However in its category based on its price , this is one of the finest in my opinion. I am a happy customer having bought this TV and writing this review after two weeks of usage. Would just like to point out, one must keep the delivery service separate from the quality of the product. Dont spread hatred or poor ratings just because delivery was one or two days late. Coming back to TV great picture...READ MORE"
Wonderful,Super tv.Value for moneyGood picture quality n sound but cast is not working properly everything is good in this tv i suggest to buy..But remote is Old model improve it only one is left in remote so try to update it like mi remote or samsung remotesREAD MORE
Mind-blowing purchase,"I'm really satisfied with the product and glad that i made this purchase, i had some other products in mind but after all i bought this one.. and after experiencing this real life display quality and not to mention the sound quality is superb. JBL really is known for it's quality and here u can experience it all.. and not just that, it has dolby vision and dts surround sound, which is really awesome. I have seen some reviews about its bad connectivity issues, but after all this time i have no...READ MORE"
Awesome TV (super value for money buy),"Awesome experience. Got delivery the next day and installation an hour after that. Great Ultra HD tv with fantastic picture quality and mind blowing sound. The best part is being an android smart tv it updates the software after installation and hence remains relevant with time.You can download apps from google play store or play directly from your phone.Apart from the regular Netflix, prime and youtube I also watched Hoichoi on it :)If you are looking for a great tv with all the bells an...READ MORE"
Worth every penny,Nokia - Brand which we trust Perfect TV only one thing If Nokia will improve after sale service then everyone will buy TV from Nokia blindly.Cons: 1- Only After sale service  need to be improved. Completely disappointed there is no proper channel to report issues and no one is taking responsibility of issues which we face.2- on first day it was automatically shut down and automatically open again twice while watching TV.3- From first day white patches are visible at cornersPros:Pictu...READ MORE
Super!,Received this product 4 days back. I am really enjoying the picture quality and sound. It's awesome.Nokia TV is also giving good competition to other brand products in market. I really feel it's worth of purchasing within this budget.Thanks to Flipkart and Nokia.READ MORE
Brilliant,Grt TV impressive sound Remote quality is not that Good just averageOnly let down is that it doesn't support 5g wiifiiBut u can connect via RJ45 Lan cable for fast browsingREAD MORE
Terrific,"Nokia has come back with a bang and looks like they can dominate or disrupt tv market if they stay on course. It's been 1.5 months now and we absolutely love the tv. Pros1. Great build and awesome presence in living room. Stand is absolutely gorgeous and overall the tv appears to be quite sophisticated2. Great tv picture. The colors, contrast, depth, blacks quite impressive3. Android 9 works like a charm. We can find apps to work from Google play store easily4. Sound is amazing . JBL sou...READ MORE"
Brilliant,"Nokia is a best Android TV,i never saw a such brilliant picture quality. really i like tv much after usage of one month. service from flipkart and nokia is cooperation is very well.thank you nokia giving such type of tv from your manufacturer.i am requesting nokia develop some more TV's.READ MORE"
Worth the money,"Even though the time taken for installation was too long,the quality of the TV and service is great and I am very happy with the purchase of the NOKIA 55"" TV from Flipkart!Remote Control is of bad quality and stopped functioning just few days after the end of warranty period.Even though the remote was used sparingly as SetTop Box remote is used generally,it failed so soon.Spare remote is not available in the market, including online market.Now,I have ordered for the Remote Control through ...READ MORE"
Great product,"It's been close to an year now since bought this TV. First of all I have no regrets buying this TV, as I was using sony and LG TV's in the past, I was a bit hesitant initially to buy this. However bought this during the pandemic to serve the purpose of a big tv in the house....But to my luck, it was way better than I expected.Bought it at 43000. Worth itBought it with out additional speakers. Worth itBought it via online- through flipkart without checking it physically. Worth it.Bought i...READ MORE"
Not good,TV doesn't connect properly to YOUTUBE even though there is working wifi connection in the house with good speed. Other apps connect fine. Sound is good but not great.READ MORE
Worth the money,"Awesome TV, great performance. Value for money. No wonder its sold out as soon as the sale starts. I am very happy with the TV.READ MORE"
Excellent Work by Nokia,Very Impressive tv design. Excellent Display from short and long distance Mind Blowing sound. in Wifi Connectivity - Jio 5G router is not support but But Jio 2.5G is support. Excellent Google Assistance.Go For It………….. Buy it without any hesitation….READ MORE
"Best 55"" TV in this Price Range.","This is so far by the best TV i ever purchased in this price range. The sound quality is awesome, the picture quality is great. If you wanna buy a 4k Budget TV this is the right choice. Arrived in 2 days and installation was done on the day of arrival. Has ""Google Assistant"" What else do u need. It's awesome.READ MORE"
Perfect product!,Mind blowing superb tv and very nice JBL sound Thank you for flipkart very nice delivery  in one day thank youREAD MORE
Pretty good,"This Led TV is value for money. Picture quality is not that much good its ok ok type, colours are seem little dull. Sound is very good and loud, connectivity is also good it responce within seconds. Many customers complain about screen bleeding but i didnt feel any such issue. To be honest if u have a big hall or room than go for it and if room is small than u might have some problem as its 55 inch led. Thanks flipkart for your services. Image quality of SD, online contents and HD channels ar...READ MORE"
Fabulous!,"Excellent Product At The Best Prise Range , It Offers So Much In The Best Value , I Almost Did Comparison For One Week To Compare Mi/Motorola/Nokia/LG To Get The Best Out Of It And Finally I Purchased Nokia 55"" Sound/Picture/System Is Absolutely Perfect & Excellent , Speakers Are So Powerful , You Don't Need Extra Speakers Or Home Theater As Well , JBL Has Perfectly Done It's Work !!!4.5/5 Stars !!! - ImpressedREAD MORE"
Simply awesome,First experience is awesome. Complete value for money. User interface is so smooth. No lag at all even if it has little older processor but 2.25GB RAM makes for it. It looks so beautiful on wall. I tried watching some 4K content and picture clarity is so awesome.My Kids are also loving it. Also watched Hollywood movie GEMINI on prime videos today and it just gives theatre like experience with such great sound from those JBL technology speakers. U don't need any external speakers with th...READ MORE
Just wow!,"Really amazing TV. If anyone is looking for a 55 inch TV, then please buy this one without hesitation.The performance is top-notch. The display quality is just amazing. The Dolby Vision surely makes a difference. Crisp details and excellent color reproduction. Depths of blacks and all other colors are are really good. There will be some reflection coming out of the TV, but it does not matter to me since I do not have anything in front of TV that would distract the vision. Plus, once you turn...READ MORE"
Wonderful,"Bought tv recently.. thanks flipkart to deliver and get installed with in 2 days.As far my experience with tv is good, I will say it's a worth buy if all go good for next 4-5 years.Pros:Best part about it, amazing voice quality by jbl . No need of sound bar.It is android based, so we have a large base to access app. No need go for firestick .I didn't expect wall mount stand as in this budget no one is offering and wall mount installation is also free. It is fixed wall mount but we ca...READ MORE"
Awesome,After a long analysis and comparison among the 4k 55 inch TVs available I decided to go for this. I found it better than expectation. Quality of picture and sound is amazing. It's a perfect Android TV and all features work very well. This tv can be prescribed to friends and near and dear ones who are going to buy.However the wait for installation was too long which can be taken into consideration by Flipkart and better arrangement should be assured.READ MORE
Nice product but no option to adjust brightness,"This is a great TV with amazing picture quality and great sound(thanks to JBL speakers). The finish is great and TV looks elegant after installation. ProsViewing angle, contrast are all good.  UI is smooth and fluid. No hangups.Netflix, Prime, Hotstar all work fine.Boot-time could have been faster, but nothing to worry about.Screen bleeding issue was found in first shipment but was quickly replaced by Flipkart.Overall, it's a great buy in this price range. The TV looks great in all it...READ MORE"
Highly recommended,This is first time I have purchased  Nokia brand 55 inch android tv. I liked very much. As per flipcart promise they have done installation today. Worth  for money. Thanks flipcart.READ MORE
Terrific,I bought this tv for my parents just before corona lockdown started and it is delivered on time. So I should thank flipkart for delivering before lock down. Regarding TV the sound and picture quality is good. Looks of the panel is very good. JBL soundbar  and tv stand gives an awesome look. Thanks Nokia And thanks flipkart....READ MORE
Brilliant,Though it's my 1st tv .. I'm verry happy to buy this.... picture quality good and sound(By JBL) like boom.....feel like a theatre under a close roomTotally satisfied with this...♥️♥️READ MORE
Great product,Its a good smart tv with amazing sound since its a latest launch from nokia hope to see the same reliability and quality which nokia was none for its cellphones. The sound from JBL is amazing and adds to the pure dynamic picture quality viewing.READ MORE
Worth every penny,"Here is my short review after 3 months usage.PRO:1. Display is awesome(I am no expert though, it looks awesome to me).2. Sound is amazing(again, I am no expert). I have hardly had to cross 30 ever.3. I have it on the stand, and the stand is sturdy as well as looks cool.CON:1. There is almost always a momentary blip in the video when volume button on remote is pressed.2. It went to home screen on its own while playing some movies, thrice. Seems to be some software bug. But since it has...READ MORE"
Really Nice,"Good picture quality and sound. Excellent for 4K video, good for HD. Sleek and stylish design. Supports optical output. Has built in Chromecast and you can cast from your mobile. Same TV remote works for Firestick also. Installation was quick and good. Buy a separate wall mount which supports pull and tilting, else you can not use any hdmi/usb ports after wall mount. Summary - go for it if most of you're contents are HD or 4K.READ MORE"
Worth every penny,Very good TV delivery was good an installation was good picture quality is good sound quality is good visual effects is good TV also very good thanks to Flipkart it's available in 65 inches TV in Nokia future I want by anmol TV in 65 inches is availability thanks to FlipkartREAD MORE
Worth every penny,its way better than other TV's in this rangecomes with stunning design and premium build quality.has brilliant base and sound by JBL.picture quality is excellent.must go for it👍👍READ MORE
Mind-blowing purchase,"Well, I have been waiting to write a review since I got this TV.It's been 25 days since we got this installed.I hope this review might help those who are thinking to buy it.Pros:~ Sound is mesmerizing to hear. Its definitely an high class audio. You are going to get a feeling of watching in theatre if you are playing some good HD stuff especially if an high quality Hollywood movie is played. Even videos recorded with my mobile are coming out with crystal clear voices. You might even feel ...READ MORE"
Great product,The sound quality is totally incrediblePicture quality is also good but the sd channels are not so goodAnyway a good product and best in the marketREAD MORE
Very Good,"1. I have choose the right product2. value for money and for me its in my budget with latest features and technology.3. Awesome sound... really enjoyed... no external sound bar required...thanks to Nokia and JBL joint venture...4. 4k videos are good...found little slow in streaming 4k videos5. colours are good...6. usb ,HDMI, ports should be kept in a reachable place... should be handy... not looking back for port or turning the tv...7. front company logo plate is not fitted properly......READ MORE"
Just wow!,"5 star... for every Jazz and Jesus.... all bells and whistles of the LED.But, some issues.... and improvement ideas...1. Why cross selling of stabilizer through installation guy??? WHY???2. Logo of NOKIA and JBL should be more prominent and big, worthy enough for a 55 inch.... it ain't a phone... don't make the logo, look like a midget.READ MORE"
Terrific purchase,"Very super product from the brand Nokia, the clarity and sound are awesome, was a perfect fit for the space available at my house. Loved by everyone at home.READ MORE"
Classy product,Awesome Tv.....Awesome Sound Quality..... Awesome Picture Quality..... I Think Its the best 55 inch we can get at this price... But still am not happy with the fitting technicians......Fitting did by jeeves technicians very poor....and flipkart should pay more attention toward after sale service... 👍READ MORE
Need improvement in picture scaling and quality.Overall good,"decent tv overall. awesome sound(best in market). Regarding picture quality, it is good for 4k and hd content. Found certain lags in Youtube App like while increasing volume, the sound/video drops to the next frame. Also, picture settings are very limited. MEMC is disappointing as it makes audio out of sync with the video. It had to be turned off. SD Content upscaling is not that good. Price -wise it is value for money.READ MORE"
Nice product,"I'mm very glad that NOKIA built this type of beautiful smart LED TV, sound quality is superb by JBL speakers, Dolby vision, Dolby audio all are perfect bt there is small issue with this TV it's doesn't support any Realme device wile multi-screen interaction so it's a small suggestion to NOKIA TV manufacturers that do some thing in there next update so that it's easily connect Realme device while multi-screen interaction.READ MORE"
Highly recommended,"I was contemplating between TCL 55P8 and Nokia 55  inch TV, then decided to go ahead with Nokia even though it was a tad expensive than TCL and I'm very glad with my decision.Pros: The front firing JBL speakers is a winner all the way, the sound clarity and Bass is fantastic and the sound output is easily sufficient for any cinema viewing experienceThe Build quality is very sturdy and the design is stylish and classy. This was one of the primary factors for me chosing this model as I've a...READ MORE"
Great product,"TV installation completed yesterday by Jeeves wishmaster, everything looks good as of now. Picture quality is better and sound is exceptional, never heard or seen this kind of amazing sound quality for any TV..,Connectivity is good, so overall performance is good, this review is based on one day usage, will update after a month usage.READ MORE"
Great product,Definitely worth buying at this price!  Delivery was prompt and the agent Riyaz from Jeeves did a professional job of installing the TV quickly. Happy that a right decision was made to buy this TV!Eagerly waiting for the next software update to fix some minor bugs..READ MORE
Just wow!,"Excellent TV for middle class people, with JBAL, Dolby DTS. With low cost.  Picture clarity good with HD.  Like mini theatre no need home theater speaker.READ MORE"
Delightful,"First of thanks for delivery in time by Flipkart at the same time the delivery boys are not bringing their POS Machine, every time they do the same.Google play store is not showing apps which are available in android phone. If we install apps through apk are not showing any where on home screen. we need to search them. Software is not user friendly. Nokia need to update software. Sound and pic quality is very good. I am happy with the product except the software which is not user friendlyREAD MORE"
Just okay,"Many users have given their fantasy reviews. I’m gonna be honest though. YOU GET WHAT YOU PAY FOR!Yes the bezels are thin, but picture quality is nowhere near in the realms of LG and Samsung, let alone Sony. I own all. Blacks are too bright, bleeding is everywhere. But these differences seem to fade out a little while playing HD content. Sound by JBL is fine and pretty good for a TV. No need for soundbar. It does not even have internet browser built in. Whaaat? Yes, and browsers from...READ MORE"
Just wow!,"I am happy to be part of Nokia brand for having TV,  price is reasonable with good Features, specially with sounded by JBL, TV Performance is good as expected, thought of purchasing smart TV from couple of months but luckily Got to know this and happened to choose Nokia because of brand with less price with more features, I recommend this TV if anyone looking for reasonable price with good featuresREAD MORE"
Pretty good,"purchased this TV in january....after using it for complete 5 months...i would say its a complete pckgthere are some cons but, even high end SMART TV also have some cons.in this prize range its a very good product to have.JBL speaker needs no justification,it sounds perfect.picture quality is awsm auto dimingnd OS have regular updatesexcept of some white spot patches in complete black screen/everything is fineREAD MORE"
